team,link
Abilene Christian,/cbb/schools/abilene-christian
Air Force,/cbb/schools/air-force
Akron,/cbb/schools/akron
Alabama,/cbb/schools/alabama
Alabama A&amp;M,/cbb/schools/alabama-am
Alabama-Birmingham,/cbb/schools/alabama-birmingham
Alabama State,/cbb/schools/alabama-state
Albany (NY),/cbb/schools/albany-ny
Alcorn State,/cbb/schools/alcorn-state
American,/cbb/schools/american
Appalachian State,/cbb/schools/appalachian-state
Arizona,/cbb/schools/arizona
Arizona State,/cbb/schools/arizona-state
Arkansas,/cbb/schools/arkansas
Little Rock,/cbb/schools/arkansas-little-rock
Arkansas-Pine Bluff,/cbb/schools/arkansas-pine-bluff
Arkansas State,/cbb/schools/arkansas-state
Army,/cbb/schools/army
Auburn,/cbb/schools/auburn
Austin Peay,/cbb/schools/austin-peay
Ball State,/cbb/schools/ball-state
Baylor,/cbb/schools/baylor
Bellarmine,/cbb/schools/bellarmine
Belmont,/cbb/schools/belmont
Binghamton,/cbb/schools/binghamton
Boise State,/cbb/schools/boise-state
Boston College,/cbb/schools/boston-college
Boston University,/cbb/schools/boston-university
Bowling Green State,/cbb/schools/bowling-green-state
Bradley,/cbb/schools/bradley
BYU,/cbb/schools/brigham-young
Brown,/cbb/schools/brown
Bryant,/cbb/schools/bryant
Bucknell,/cbb/schools/bucknell
Buffalo,/cbb/schools/buffalo
Butler,/cbb/schools/butler
Cal Poly,/cbb/schools/cal-poly
Cal State Bakersfield,/cbb/schools/cal-state-bakersfield
Cal State Fullerton,/cbb/schools/cal-state-fullerton
Cal State Northridge,/cbb/schools/cal-state-northridge
California,/cbb/schools/california
California Baptist,/cbb/schools/california-baptist
UC-Davis,/cbb/schools/california-davis
UC-Irvine,/cbb/schools/california-irvine
UC-Riverside,/cbb/schools/california-riverside
UC-San Diego,/cbb/schools/california-san-diego
UCSB,/cbb/schools/california-santa-barbara
Campbell,/cbb/schools/campbell
Canisius,/cbb/schools/canisius
Central Arkansas,/cbb/schools/central-arkansas
Central Connecticut,/cbb/schools/central-connecticut-state
UCF,/cbb/schools/central-florida
Central Michigan,/cbb/schools/central-michigan
Charleston Southern,/cbb/schools/charleston-southern
Charlotte,/cbb/schools/charlotte
Chattanooga,/cbb/schools/chattanooga
Chicago State,/cbb/schools/chicago-state
Cincinnati,/cbb/schools/cincinnati
Citadel,/cbb/schools/citadel
Clemson,/cbb/schools/clemson
Cleveland State,/cbb/schools/cleveland-state
Coastal Carolina,/cbb/schools/coastal-carolina
Colgate,/cbb/schools/colgate
College of Charleston,/cbb/schools/college-of-charleston
Colorado,/cbb/schools/colorado
Colorado State,/cbb/schools/colorado-state
Columbia,/cbb/schools/columbia
UConn,/cbb/schools/connecticut
Coppin State,/cbb/schools/coppin-state
Cornell,/cbb/schools/cornell
Creighton,/cbb/schools/creighton
Dartmouth,/cbb/schools/dartmouth
Davidson,/cbb/schools/davidson
Dayton,/cbb/schools/dayton
Delaware,/cbb/schools/delaware
Delaware State,/cbb/schools/delaware-state
Denver,/cbb/schools/denver
DePaul,/cbb/schools/depaul
Detroit,/cbb/schools/detroit-mercy
Dixie State,/cbb/schools/dixie-state
Drake,/cbb/schools/drake
Drexel,/cbb/schools/drexel
Duke,/cbb/schools/duke
Duquesne,/cbb/schools/duquesne
East Carolina,/cbb/schools/east-carolina
ETSU,/cbb/schools/east-tennessee-state
Eastern Illinois,/cbb/schools/eastern-illinois
Eastern Kentucky,/cbb/schools/eastern-kentucky
Eastern Michigan,/cbb/schools/eastern-michigan
Eastern Washington,/cbb/schools/eastern-washington
Elon,/cbb/schools/elon
Evansville,/cbb/schools/evansville
Fairfield,/cbb/schools/fairfield
Fairleigh Dickinson,/cbb/schools/fairleigh-dickinson
Florida,/cbb/schools/florida
Florida A&amp;M,/cbb/schools/florida-am
Florida Atlantic,/cbb/schools/florida-atlantic
Florida Gulf Coast,/cbb/schools/florida-gulf-coast
Florida International,/cbb/schools/florida-international
Florida State,/cbb/schools/florida-state
Fordham,/cbb/schools/fordham
Fresno State,/cbb/schools/fresno-state
Furman,/cbb/schools/furman
Gardner-Webb,/cbb/schools/gardner-webb
George Mason,/cbb/schools/george-mason
George Washington,/cbb/schools/george-washington
Georgetown,/cbb/schools/georgetown
Georgia,/cbb/schools/georgia
Georgia Southern,/cbb/schools/georgia-southern
Georgia State,/cbb/schools/georgia-state
Georgia Tech,/cbb/schools/georgia-tech
Gonzaga,/cbb/schools/gonzaga
Grambling,/cbb/schools/grambling
Grand Canyon,/cbb/schools/grand-canyon
Green Bay,/cbb/schools/green-bay
Hampton,/cbb/schools/hampton
Hartford,/cbb/schools/hartford
Harvard,/cbb/schools/harvard
Hawaii,/cbb/schools/hawaii
High Point,/cbb/schools/high-point
Hofstra,/cbb/schools/hofstra
Holy Cross,/cbb/schools/holy-cross
Houston,/cbb/schools/houston
Houston Baptist,/cbb/schools/houston-baptist
Howard,/cbb/schools/howard
Idaho,/cbb/schools/idaho
Idaho State,/cbb/schools/idaho-state
Illinois,/cbb/schools/illinois
UIC,/cbb/schools/illinois-chicago
Illinois State,/cbb/schools/illinois-state
Incarnate Word,/cbb/schools/incarnate-word
Indiana,/cbb/schools/indiana
Indiana State,/cbb/schools/indiana-state
Iona,/cbb/schools/iona
Iowa,/cbb/schools/iowa
Iowa State,/cbb/schools/iowa-state
Purdue-Fort Wayne,/cbb/schools/ipfw
IUPUI,/cbb/schools/iupui
Jackson State,/cbb/schools/jackson-state
Jacksonville,/cbb/schools/jacksonville
Jacksonville State,/cbb/schools/jacksonville-state
James Madison,/cbb/schools/james-madison
Kansas,/cbb/schools/kansas
Kansas State,/cbb/schools/kansas-state
Kennesaw State,/cbb/schools/kennesaw-state
Kent State,/cbb/schools/kent-state
Kentucky,/cbb/schools/kentucky
La Salle,/cbb/schools/la-salle
Lafayette,/cbb/schools/lafayette
Lamar,/cbb/schools/lamar
Lehigh,/cbb/schools/lehigh
Liberty,/cbb/schools/liberty
Lipscomb,/cbb/schools/lipscomb
Long Beach State,/cbb/schools/long-beach-state
LIU,/cbb/schools/long-island-university
Longwood,/cbb/schools/longwood
Louisiana,/cbb/schools/louisiana-lafayette
Louisiana-Monroe,/cbb/schools/louisiana-monroe
LSU,/cbb/schools/louisiana-state
Louisiana Tech,/cbb/schools/louisiana-tech
Louisville,/cbb/schools/louisville
Loyola (IL),/cbb/schools/loyola-il
Loyola Marymount,/cbb/schools/loyola-marymount
Loyola (MD),/cbb/schools/loyola-md
Maine,/cbb/schools/maine
Manhattan,/cbb/schools/manhattan
Marist,/cbb/schools/marist
Marquette,/cbb/schools/marquette
Marshall,/cbb/schools/marshall
Maryland,/cbb/schools/maryland
UMBC,/cbb/schools/maryland-baltimore-county
Maryland-Eastern Shore,/cbb/schools/maryland-eastern-shore
UMass,/cbb/schools/massachusetts
