Wk,Date,Rk.1,Prev,Chng,team,team_location
6,2006-12-11,24,,,Air Force,"USAF Academy, Colorado"
7,2006-12-18,24,24,-,Air Force,"USAF Academy, Colorado"
8,2006-12-25,23,24,1,Air Force,"USAF Academy, Colorado"
9,2007-01-01,20,23,3,Air Force,"USAF Academy, Colorado"
10,2007-01-08,18,20,2,Air Force,"USAF Academy, Colorado"
11,2007-01-15,13,18,5,Air Force,"USAF Academy, Colorado"
12,2007-01-22,16,13,3,Air Force,"USAF Academy, Colorado"
13,2007-01-29,17,16,1,Air Force,"USAF Academy, Colorado"
14,2007-02-05,15,17,2,Air Force,"USAF Academy, Colorado"
15,2007-02-12,17,15,2,Air Force,"USAF Academy, Colorado"
16,2007-02-19,14,17,3,Air Force,"USAF Academy, Colorado"
17,2007-02-26,25,14,11,Air Force,"USAF Academy, Colorado"
17,2004-03-08,25,,,Air Force,"USAF Academy, Colorado"
9,2021-01-18,18,,,Alabama,"Tuscaloosa, Alabama"
10,2021-01-25,9,18,9,Alabama,"Tuscaloosa, Alabama"
11,2021-02-01,10,9,1,Alabama,"Tuscaloosa, Alabama"
12,2021-02-08,11,10,1,Alabama,"Tuscaloosa, Alabama"
13,2021-02-15,8,11,3,Alabama,"Tuscaloosa, Alabama"
14,2021-02-22,6,8,2,Alabama,"Tuscaloosa, Alabama"
15,2021-03-01,8,6,2,Alabama,"Tuscaloosa, Alabama"
3,2017-11-20,25,,,Alabama,"Tuscaloosa, Alabama"
4,2017-11-27,24,25,1,Alabama,"Tuscaloosa, Alabama"
1,Preseason,19,,—,Alabama,"Tuscaloosa, Alabama"
2,2011-11-14,16,19,3,Alabama,"Tuscaloosa, Alabama"
3,2011-11-21,13,16,3,Alabama,"Tuscaloosa, Alabama"
4,2011-11-28,12,13,1,Alabama,"Tuscaloosa, Alabama"
5,2011-12-05,16,12,4,Alabama,"Tuscaloosa, Alabama"
6,2011-12-12,23,16,7,Alabama,"Tuscaloosa, Alabama"
1,Preseason,11,,—,Alabama,"Tuscaloosa, Alabama"
2,2006-11-13,10,11,1,Alabama,"Tuscaloosa, Alabama"
3,2006-11-20,8,10,2,Alabama,"Tuscaloosa, Alabama"
4,2006-11-27,6,8,2,Alabama,"Tuscaloosa, Alabama"
5,2006-12-04,4,6,2,Alabama,"Tuscaloosa, Alabama"
6,2006-12-11,9,4,5,Alabama,"Tuscaloosa, Alabama"
7,2006-12-18,10,9,1,Alabama,"Tuscaloosa, Alabama"
8,2006-12-25,8,10,2,Alabama,"Tuscaloosa, Alabama"
9,2007-01-01,8,8,-,Alabama,"Tuscaloosa, Alabama"
10,2007-01-08,14,8,6,Alabama,"Tuscaloosa, Alabama"
11,2007-01-15,10,14,4,Alabama,"Tuscaloosa, Alabama"
12,2007-01-22,12,10,2,Alabama,"Tuscaloosa, Alabama"
13,2007-01-29,19,12,7,Alabama,"Tuscaloosa, Alabama"
14,2007-02-05,18,19,1,Alabama,"Tuscaloosa, Alabama"
15,2007-02-12,25,18,7,Alabama,"Tuscaloosa, Alabama"
16,2007-02-19,25,25,-,Alabama,"Tuscaloosa, Alabama"
1,Preseason,15,,—,Alabama,"Tuscaloosa, Alabama"
2,2005-11-14,15,15,-,Alabama,"Tuscaloosa, Alabama"
3,2005-11-21,19,15,4,Alabama,"Tuscaloosa, Alabama"
4,2005-11-28,21,19,2,Alabama,"Tuscaloosa, Alabama"
5,2005-12-05,22,21,1,Alabama,"Tuscaloosa, Alabama"
1,Preseason,18,,—,Alabama,"Tuscaloosa, Alabama"
2,2004-11-15,18,18,-,Alabama,"Tuscaloosa, Alabama"
3,2004-11-22,19,18,1,Alabama,"Tuscaloosa, Alabama"
4,2004-11-29,22,19,3,Alabama,"Tuscaloosa, Alabama"
5,2004-12-06,18,22,4,Alabama,"Tuscaloosa, Alabama"
6,2004-12-13,17,18,1,Alabama,"Tuscaloosa, Alabama"
7,2004-12-20,19,17,2,Alabama,"Tuscaloosa, Alabama"
8,2004-12-27,18,19,1,Alabama,"Tuscaloosa, Alabama"
9,2005-01-03,19,18,1,Alabama,"Tuscaloosa, Alabama"
10,2005-01-10,23,19,4,Alabama,"Tuscaloosa, Alabama"
11,2005-01-17,22,23,1,Alabama,"Tuscaloosa, Alabama"
12,2005-01-24,14,22,8,Alabama,"Tuscaloosa, Alabama"
13,2005-01-31,11,14,3,Alabama,"Tuscaloosa, Alabama"
14,2005-02-07,17,11,6,Alabama,"Tuscaloosa, Alabama"
15,2005-02-14,16,17,1,Alabama,"Tuscaloosa, Alabama"
16,2005-02-21,16,16,-,Alabama,"Tuscaloosa, Alabama"
17,2005-02-28,21,16,5,Alabama,"Tuscaloosa, Alabama"
18,2005-03-07,20,21,1,Alabama,"Tuscaloosa, Alabama"
19,Final,21,20,1,Alabama,"Tuscaloosa, Alabama"
1,Preseason,8,,—,Alabama,"Tuscaloosa, Alabama"
2,2002-11-18,4,8,4,Alabama,"Tuscaloosa, Alabama"
3,2002-11-25,4,4,-,Alabama,"Tuscaloosa, Alabama"
4,2002-12-02,3,4,1,Alabama,"Tuscaloosa, Alabama"
5,2002-12-09,2,3,1,Alabama,"Tuscaloosa, Alabama"
6,2002-12-16,2,2,-,Alabama,"Tuscaloosa, Alabama"
7,2002-12-23,1,2,1,Alabama,"Tuscaloosa, Alabama"
8,2002-12-30,1,1,-,Alabama,"Tuscaloosa, Alabama"
9,2003-01-06,4,1,3,Alabama,"Tuscaloosa, Alabama"
10,2003-01-13,9,4,5,Alabama,"Tuscaloosa, Alabama"
11,2003-01-20,15,9,6,Alabama,"Tuscaloosa, Alabama"
12,2003-01-27,23,15,8,Alabama,"Tuscaloosa, Alabama"
13,2003-02-03,22,23,1,Alabama,"Tuscaloosa, Alabama"
1,Preseason,24,,—,Alabama,"Tuscaloosa, Alabama"
2,2001-11-19,22,24,2,Alabama,"Tuscaloosa, Alabama"
3,2001-11-26,21,22,1,Alabama,"Tuscaloosa, Alabama"
4,2001-12-03,16,21,5,Alabama,"Tuscaloosa, Alabama"
5,2001-12-10,22,16,6,Alabama,"Tuscaloosa, Alabama"
6,2001-12-17,23,22,1,Alabama,"Tuscaloosa, Alabama"
7,2001-12-24,21,23,2,Alabama,"Tuscaloosa, Alabama"
8,2001-12-31,18,21,3,Alabama,"Tuscaloosa, Alabama"
9,2002-01-07,14,18,4,Alabama,"Tuscaloosa, Alabama"
10,2002-01-14,16,14,2,Alabama,"Tuscaloosa, Alabama"
11,2002-01-21,14,16,2,Alabama,"Tuscaloosa, Alabama"
12,2002-01-28,7,14,7,Alabama,"Tuscaloosa, Alabama"
13,2002-02-04,5,7,2,Alabama,"Tuscaloosa, Alabama"
14,2002-02-11,7,5,2,Alabama,"Tuscaloosa, Alabama"
15,2002-02-18,5,7,2,Alabama,"Tuscaloosa, Alabama"
16,2002-02-25,6,5,1,Alabama,"Tuscaloosa, Alabama"
17,2002-03-04,8,6,2,Alabama,"Tuscaloosa, Alabama"
18,Final,8,8,-,Alabama,"Tuscaloosa, Alabama"
5,2000-12-04,23,,,Alabama,"Tuscaloosa, Alabama"
6,2000-12-11,18,23,5,Alabama,"Tuscaloosa, Alabama"
7,2000-12-18,17,18,1,Alabama,"Tuscaloosa, Alabama"
8,2000-12-25,20,17,3,Alabama,"Tuscaloosa, Alabama"
9,2001-01-01,18,20,2,Alabama,"Tuscaloosa, Alabama"
10,2001-01-08,16,18,2,Alabama,"Tuscaloosa, Alabama"
11,2001-01-15,15,16,1,Alabama,"Tuscaloosa, Alabama"
12,2001-01-22,18,15,3,Alabama,"Tuscaloosa, Alabama"
13,2001-01-29,17,18,1,Alabama,"Tuscaloosa, Alabama"
14,2001-02-05,18,17,1,Alabama,"Tuscaloosa, Alabama"
15,2001-02-12,21,18,3,Alabama,"Tuscaloosa, Alabama"
16,2001-02-19,14,21,7,Alabama,"Tuscaloosa, Alabama"
17,2001-02-26,20,14,6,Alabama,"Tuscaloosa, Alabama"
5,1996-12-09,24,,,Alabama,"Tuscaloosa, Alabama"
6,1996-12-16,20,24,4,Alabama,"Tuscaloosa, Alabama"
7,1996-12-23,19,20,1,Alabama,"Tuscaloosa, Alabama"
1,Preseason,18,,—,Alabama,"Tuscaloosa, Alabama"
2,1994-11-21,25,18,7,Alabama,"Tuscaloosa, Alabama"
12,1995-01-30,20,,,Alabama,"Tuscaloosa, Alabama"
13,1995-02-06,23,20,3,Alabama,"Tuscaloosa, Alabama"
14,1995-02-13,18,23,5,Alabama,"Tuscaloosa, Alabama"
15,1995-02-20,20,18,2,Alabama,"Tuscaloosa, Alabama"
16,1995-02-27,21,20,1,Alabama,"Tuscaloosa, Alabama"
17,1995-03-06,20,21,1,Alabama,"Tuscaloosa, Alabama"
18,Final,20,20,-,Alabama,"Tuscaloosa, Alabama"
1,Preseason,17,,—,Alabama,"Tuscaloosa, Alabama"
2,1991-11-25,16,17,1,Alabama,"Tuscaloosa, Alabama"
3,1991-12-02,15,16,1,Alabama,"Tuscaloosa, Alabama"
