No.,Name,Height,Weight,Position,Hometown,High school,College of Choice,year
No.,Name,Height,Weight,Position,Hometown,High school,College of Choice,2003
1,Ivan Harris,6-7,215,F,"Mouth of Wilson, U.S.",Oak Hill Academy,Ohio State,2003
3,Chris Paul,6-1,170,G,"Clemmons, NC, U.S.",West Forsyth,Wake Forest,2003
20,Mike Jones,6-5,195,G,"Braintree, MA, U.S.",Thayer Academy,Maryland,2003
22,Mustafa Shakur,6-3,230,G,"Philadelphia, PA, U.S.",Friends Central,Arizona,2003
24,Drew Lavender,5-7,150,G,"Columbus, OH, U.S.",Brookhaven,Oklahoma,2003
25,Travis Outlaw,6-9,210,F,"Starkville, MS, U.S.",Starkville High School,Mississippi State (Did Not Attend),2003
30,Brandon Bass,6-8,245,F,"Baton Rouge, LA, U.S.",Capitol High School,Undecided,2003
31,Charlie Villanueva,6-10,220,F,"Blairstown, NJ, U.S.",Blair Academy,Connecticut,2003
32,LeBron James,6-8,240,F,"Akron, OH, U.S.",St.Vincent-St. Mary,Undecided (Did not attend),2003
44,Jackie Butler,6-10,255,C,"McComb, MS, U.S.",McComb High School,Mississippi State,2003
54,James Lang,6-10,305,C,"Birmingham, AL, U.S.",Central Park Christian,Undecided (Did not attend),2003
,Luol Deng,6-8,220,F,"Blairston, NJ, U.S.",Blair Academy,Duke,2003
No.,Name,Height,Weight,Position,Hometown,High school,College of Choice,2003
5,Brandon Cotton,6-0,175,G,"Detroit, MI, U.S.",St. Martin DePorres,Michigan State,2003
21,Shannon Brown,6-3,190,G,"Maywood, U.S.",Proviso East,Michigan State,2003
22,Vakeaton Wafer,6-6,210,F,"Cleveland, TX, U.S.",Heritage Christian Academy,Florida State,2003
30,Aaron Brooks,6-0,160,G,"Seattle, WA, U.S.",Franklin,Oregon,2003
34,Kris Humphries,6-9,230,F,"Minnetonka, MN, U.S.",Hopkins,Duke,2003
35,J.R. Giddens,6-6,190,G,"Oklahoma City, OK, U.S.",John Marshall,Kansas,2003
42,Brian Butch,6-11,215,C,"Appleton, WI, U.S.",Appleton West,Wisconsin,2003
43,Kendrick Perkins,6-10,285,C,"Beaumont, TX, U.S.",Clifton J. Ozen,Memphis (Did not attend),2003
44,Ndudi Ebi,6-9,195,F,"Houston, TX, U.S.",Westbury Christian,Arizona (Did not attend),2003
55,Leon Powe,6-8,240,G,"Oakland, CA, U.S.",Oakland Tech,California,2003
,Olu Famutimi,6-5,210,G,"Flint, MI, U.S.",Northwestern,Arkansas,2003
