TeamName,team
Abilene Chr,Abilene Christian
SUNY Albany,Albany (NY)
Alliant Intl,
American University,American
Ark Little Rock,Little Rock
Ark Pine Bluff,Arkansas-Pine Bluff
Armstrong State,
Augusta,
Bethune-Cookman,
Birmingham So,
Bowling Green,Bowling Green State
Brooklyn,
C Michigan,Central Michigan
Cent Arkansas,Central Arkansas
Centenary,
Central Conn,Central Connecticut
Charleston So,Charleston Southern
Coastal Car,Coastal Carolina
Col Charleston,College of Charleston
Connecticut,Central Connecticut
CS Bakersfield,Cal State Bakersfield
CS Fullerton,Cal State Fullerton
CS Northridge,Cal State Northridge
CS Sacramento,Sacramento State
E Illinois,Eastern Illinois
E Kentucky,Eastern Kentucky
E Michigan,Eastern Michigan
E Washington,Eastern Washington
SIUE,SIU-Edwardsville
F Dickinson,Fairleigh Dickinson
FL Atlantic,Florida Atlantic
FL Gulf Coast,Florida Gulf Coast
Florida Intl,Florida International
G Washington,George Washington
Ga Southern,Georgia Southern
Gardner Webb,Gardner-Webb
Hardin-Simmons,Hardin-Simmons
Houston Bap,Houston Baptist
IL Chicago,UIC
PFW,Purdue-Fort Wayne
Kennesaw,Kennesaw State
Kent,Kent State
LIU Brooklyn,LIU
Loy Marymount,Loyola Marymount
Loyola MD,Loyola (MD)
Loyola-Chicago,Loyola (IL)
MA Lowell,UMass-Lowell
Massachusetts,UMass
MD E Shore,Maryland-Eastern Shore
Miami FL,Miami (FL)
Miami OH,Miami (OH)
Mississippi,Mississippi
Missouri KC,
Monmouth NJ,Monmouth
Morris Brown,Morris Brown
MS Valley State,Mississippi Valley State
Mt State Mary's,Mount St. Mary's
MTSU,Middle Tennessee
N Colorado,Northern Colorado
N Dakota State,North Dakota State
N Illinois,Northern Illinois
N Kentucky,Northern Kentucky
NC A&T,North Carolina A&T
NC Central,North Carolina Central
NC State,NC State
NE Illinois,Northeastern Illinois
NE Omaha,
North Carolina,UNC
Northwestern LA,
Okla City,Oklahoma City
Pittsburgh,Pitt
S Carolina State,South Carolina State
S Dakota State,South Dakota State
S Illinois,Southern Illinois
UC Santa Barbara,UCSB
Savannah State,
SC Upstate,USC Upstate
SE Louisiana,Southeastern Louisiana
SE Missouri State,Southeast Missouri State
SF Austin,Stephen F. Austin
Southern University,Southern
St Bonaventure,St. Bonaventure
St Francis NY,St. Francis (NY)
St Francis PA,Saint Francis (PA)
St John's,St. John's (NY)
St Joseph's PA,St Joseph's
St Louis,Saint Louis
St Mary's CA,Saint Mary's
St Peter's,St. Peter's
TAM C. Christi,Texas A&M-Corpus Christi
TN Martin,Tennessee-Martin
UTRGV,Texas-Rio Grande Valley
TX Southern,Texas Southern
UAB,Alabama-Birmingham
UC Davis,UC-Davis
UC Irvine,UC-Irvine
UC Riverside,UC-Riverside
ULM,Louisiana-Monroe
UT Arlington,Texas-Arlington
UT San Antonio,UTSA
Utica,
W Carolina,Western Carolina
W Illinois,Western Illinois
WKU,Western Kentucky
W Michigan,Western Michigan
W Salem State,Washington
W Texas A&M,West Texas A&M
WI Green Bay,Green Bay
WI Milwaukee,Milwaukee
Cal Baptist,California Baptist
UC San Diego,UC-San Diego
