Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
1,Abilene Christian Wildcats,Abilene Texas,1971,2021,11,318,168,150,.528,-9.54,-7.00,0,0,1,1,0,0
2,Air Force Falcons,USAF Academy Colorado,1958,2021,63,1727,746,981,.432,-2.78,1.33,0,1,0,4,0,0
3,Akron Zips,Akron Ohio,1902,2021,70,1614,956,658,.592,-0.17,-1.46,0,9,4,4,0,0
4,Alabama A&M Bulldogs,Normal Alabama,2000,2021,22,623,238,385,.382,-17.01,-11.47,0,1,1,1,0,0
5,Alabama Crimson Tide,Tuscaloosa Alabama,1913,2021,108,2782,1713,1068,.616,7.44,4.66,15,10,7,21,0,0
6,Alabama State Hornets,Montgomery Alabama,1983,2021,39,1144,544,600,.476,-13.20,-10.20,0,4,4,4,0,0
7,Alabama-Birmingham Blazers,Birmingham Alabama,1980,2021,42,1345,839,506,.624,6.34,2.44,2,7,5,15,0,0
8,Albany (NY) Great Danes,Albany New York,2000,2021,22,674,333,341,.494,-6.59,-5.98,0,2,5,5,0,0
9,Alcorn State Braves,Alcorn State Mississippi,1978,2021,44,1291,558,733,.432,-13.70,-8.91,0,10,6,6,0,0
10,Allegheny Gators,Meadville Pennsylvania,1896,1916,21,234,191,41,.823,,,0,0,0,,,
11,American Eagles,Washington D.C.,1967,2021,55,1542,759,783,.492,-5.46,-3.69,0,7,3,3,0,0
12,Amherst Lord Jeffs,Amherst Massachusetts,1901,1902,2,12,12,0,1.000,,,0,0,0,,,
13,Appalachian State Mountaineers,Boone North Carolina,1974,2021,48,1409,688,721,.488,-5.93,-3.36,0,10,2,2,0,0
14,Arizona State Sun Devils,Tempe Arizona,1912,2021,106,2591,1378,1213,.532,4.98,3.96,7,8,0,16,0,0
15,Arizona Wildcats,Tucson Arizona,1905,2021,114,2780,1825,954,.657,8.97,5.04,27,24,7,35,4,1
16,Arkansas Razorbacks,Fayetteville Arkansas,1924,2021,98,2700,1728,972,.640,7.68,3.14,16,26,7,32,6,1
