season,day_num,region,game_round,game_slot,winner,team_1_id,team_2_id,team_1_seed_num,team_2_seed_num
2003,134,X,0,X16,team_2,1411,1421,16,16
2003,136,Z,1,R1Z1,team_1,1112,1436,1,16
2003,136,Z,1,R1Z7,team_2,1272,1113,7,10
2003,136,Z,1,R1Z6,team_2,1166,1141,6,11
2003,136,W,1,R1W8,team_2,1301,1143,9,8
2003,136,X,1,R1X5,team_2,1140,1163,12,5
2003,136,Z,1,R1Z3,team_2,1161,1181,14,3
2003,136,Z,1,R1Z8,team_2,1153,1211,8,9
2003,136,Z,1,R1Z4,team_1,1228,1443,4,13
2003,136,Z,1,R1Z2,team_1,1242,1429,2,15
2003,136,Y,1,R1Y3,team_1,1266,1221,3,14
2003,136,Y,1,R1Y6,team_2,1356,1281,11,6
2003,136,Z,1,R1Z5,team_2,1454,1323,12,5
2003,136,W,1,R1W1,team_1,1328,1354,1,16
2003,136,X,1,R1X4,team_1,1390,1360,4,13
2003,136,Y,1,R1Y4,team_2,1173,1409,4,13
2003,136,Y,1,R1Y5,team_1,1458,1451,5,12
2003,137,W,1,R1W7,team_1,1120,1386,10,7
2003,137,W,1,R1W5,team_2,1280,1139,5,12
2003,137,X,1,R1X2,team_1,1196,1358,2,15
2003,137,Y,1,R1Y7,team_2,1104,1231,10,7
2003,137,Y,1,R1Y1,team_1,1246,1237,1,16
2003,137,W,1,R1W4,team_2,1122,1257,13,4
2003,137,X,1,R1X6,team_1,1268,1423,6,11
2003,137,X,1,R1X7,team_2,1160,1277,10,7
2003,137,W,1,R1W6,team_2,1335,1329,11,6
2003,137,Y,1,R1Y2,team_1,1338,1447,2,15
2003,137,X,1,R1X8,team_2,1261,1345,8,9
2003,137,W,1,R1W3,team_2,1264,1393,14,3
2003,137,X,1,R1X1,team_1,1400,1421,1,16
2003,137,Y,1,R1Y8,team_1,1428,1332,9,8
2003,137,W,1,R1W2,team_1,1448,1190,2,15
2003,137,X,1,R1X3,team_1,1462,1407,3,14
2003,138,Z,2,R2Z1,team_1,1112,1211,1,9
2003,138,X,2,R2X4,team_2,1390,1163,4,5
2003,138,Z,2,R2Z3,team_2,1141,1181,11,3
2003,138,Z,2,R2Z2,team_1,1242,1113,2,10
2003,138,Y,2,R2Y3,team_1,1266,1281,3,6
2003,138,Z,2,R2Z4,team_2,1228,1323,4,5
2003,138,W,2,R2W1,team_1,1328,1143,1,8
2003,138,Y,2,R2Y4,team_1,1458,1409,5,13
2003,139,W,2,R2W2,team_1,1120,1448,10,2
2003,139,W,2,R2W4,team_2,1257,1139,4,12
2003,139,Y,2,R2Y1,team_1,1246,1428,1,9
2003,139,X,2,R2X3,team_1,1268,1462,6,3
2003,139,X,2,R2X2,team_2,1196,1277,2,7
2003,139,Y,2,R2Y2,team_1,1338,1231,2,7
2003,139,W,2,R2W3,team_2,1329,1393,6,3
2003,139,X,2,R2X1,team_1,1400,1345,1,9
2003,143,Z,3,R3Z1,team_1,1112,1323,1,5
2003,143,Z,3,R3Z2,team_1,1242,1181,2,3
2003,143,Y,3,R3Y1,team_1,1246,1458,1,5
2003,143,Y,3,R3Y2,team_1,1266,1338,3,2
2003,144,X,3,R3X2,team_2,1268,1277,6,7
2003,144,W,3,R3W1,team_1,1328,1139,1,12
2003,144,W,3,R3W2,team_2,1120,1393,10,3
2003,144,X,3,R3X1,team_1,1400,1163,1,5
2003,145,Z,4,R4Z1,team_1,1242,1112,2,1
2003,145,Y,4,R4Y1,team_1,1266,1246,3,1
2003,146,W,4,R4W1,team_2,1328,1393,1,3
2003,146,X,4,R4X1,team_1,1400,1277,1,7
2003,152,Z,5,R5YZ,team_1,1242,1266,2,3
2003,152,X,5,R5WX,team_2,1400,1393,1,3
2003,154,Z,6,R6CH,team_2,1242,1393,2,3
2004,134,Z,0,Z16,team_2,1250,1197,16,16
2004,136,X,1,R1X8,team_1,1104,1356,8,9
2004,136,X,1,R1X2,team_2,1436,1163,15,2
2004,136,X,1,R1X7,team_2,1173,1177,10,7
2004,136,W,1,R1W1,team_2,1106,1181,16,1
2004,136,Z,1,R1Z2,team_2,1434,1211,15,2
2004,136,Y,1,R1Y5,team_1,1264,1196,12,5
2004,136,X,1,R1X4,team_1,1268,1431,4,13
2004,136,Z,1,R1Z7,team_2,1277,1305,7,10
2004,136,W,1,R1W6,team_1,1314,1102,6,11
2004,136,W,1,R1W8,team_2,1112,1371,9,8
2004,136,Y,1,R1Y1,team_1,1386,1251,1,16
2004,136,X,1,R1X1,team_1,1390,1427,1,16
2004,136,X,1,R1X5,team_2,1140,1393,12,5
2004,136,W,1,R1W3,team_1,1400,1343,3,14
2004,136,Y,1,R1Y8,team_2,1150,1403,9,8
2004,136,Y,1,R1Y4,team_1,1448,1433,4,13
2004,137,Z,1,R1Z6,team_1,1130,1428,6,11
2004,137,W,1,R1W4,team_2,1190,1153,13,4
2004,137,Z,1,R1Z3,team_1,1210,1320,3,14
2004,137,W,1,R1W5,team_1,1228,1293,5,12
2004,137,Z,1,R1Z4,team_1,1242,1227,4,13
2004,137,Z,1,R1Z1,team_1,1246,1197,1,16
2004,137,Y,1,R1Y7,team_1,1272,1376,7,10
2004,137,W,1,R1W2,team_1,1280,1284,2,15
2004,137,X,1,R1X3,team_2,1418,1301,14,3
2004,137,Y,1,R1Y2,team_2,1186,1329,15,2
2004,137,Z,1,R1Z5,team_1,1334,1344,12,5
2004,137,Y,1,R1Y3,team_1,1338,1416,3,14
2004,137,Z,1,R1Z8,team_1,1412,1449,9,8
2004,137,X,1,R1X6,team_2,1444,1435,11,6
